sensor_id;sensor_type;location;lat;lon;timestamp;pressure;altitude;pressure_sealevel;temperature;humidity
16423;BME280;8320;57.456;-2.377;2018-11-20T00:01:03;102571.06;;;6.02;89.25
16423;BME280;8320;57.456;-2.377;2018-11-20T00:04:25;102577.56;;;6.01;89.38
16423;BME280;8320;57.456;-2.377;2018-11-20T00:14:18;102568.22;;;5.97;90.38
16423;BME280;8320;57.456;-2.377;2018-11-20T00:24:30;102562.31;;;5.93;89.69
16423;BME280;8320;57.456;-2.377;2018-11-20T00:34:24;102563.71;;;5.90;89.23
16423;BME280;8320;57.456;-2.377;2018-11-20T00:37:42;102562.60;;;5.84;89.82
16423;BME280;8320;57.456;-2.377;2018-11-20T00:44:20;102558.83;;;5.81;91.21
16423;BME280;8320;57.456;-2.377;2018-11-20T00:47:16;102557.43;;;5.84;91.58
16423;BME280;8320;57.456;-2.377;2018-11-20T00:50:29;102545.42;;;5.83;91.08
16423;BME280;8320;57.456;-2.377;2018-11-20T00:53:49;102538.48;;;5.84;90.90
16423;BME280;8320;57.456;-2.377;2018-11-20T00:57:12;102539.45;;;5.81;90.52
16423;BME280;8320;57.456;-2.377;2018-11-20T01:00:41;102531.02;;;5.76;89.55
16423;BME280;8320;57.456;-2.377;2018-11-20T01:03:45;102537.52;;;5.74;89.75
16423;BME280;8320;57.456;-2.377;2018-11-20T01:10:10;102529.13;;;5.68;89.59
16423;BME280;8320;57.456;-2.377;2018-11-20T01:13:28;102532.59;;;5.67;89.99
16423;BME280;8320;57.456;-2.377;2018-11-20T01:16:55;102522.33;;;5.65;90.07
16423;BME280;8320;57.456;-2.377;2018-11-20T01:20:01;102523.22;;;5.64;89.83
16423;BME280;8320;57.456;-2.377;2018-11-20T01:22:55;102523.62;;;5.65;89.79
16423;BME280;8320;57.456;-2.377;2018-11-20T01:26:06;102517.72;;;5.62;89.14
16423;BME280;8320;57.456;-2.377;2018-11-20T01:32:58;102515.59;;;5.48;89.05
16423;BME280;8320;57.456;-2.377;2018-11-20T01:39:45;102507.85;;;5.35;87.94
16423;BME280;8320;57.456;-2.377;2018-11-20T01:46:38;102491.61;;;5.18;87.38
16423;BME280;8320;57.456;-2.377;2018-11-20T01:53:19;102487.53;;;4.98;88.46
16423;BME280;8320;57.456;-2.377;2018-11-20T01:56:28;102478.70;;;4.92;89.01
16423;BME280;8320;57.456;-2.377;2018-11-20T02:09:28;102483.09;;;4.61;88.04
16423;BME280;8320;57.456;-2.377;2018-11-20T02:16:13;102477.25;;;4.56;89.16
16423;BME280;8320;57.456;-2.377;2018-11-20T02:23:15;102476.62;;;4.62;89.42
16423;BME280;8320;57.456;-2.377;2018-11-20T02:43:22;102471.61;;;4.29;91.41
16423;BME280;8320;57.456;-2.377;2018-11-20T02:46:42;102461.96;;;4.35;92.50
16423;BME280;8320;57.456;-2.377;2018-11-20T02:50:03;102463.47;;;4.42;91.60
16423;BME280;8320;57.456;-2.377;2018-11-20T03:00:25;102455.77;;;4.55;90.70
16423;BME280;8320;57.456;-2.377;2018-11-20T03:03:26;102452.34;;;4.55;89.43
16423;BME280;8320;57.456;-2.377;2018-11-20T03:06:25;102455.08;;;4.50;89.41
16423;BME280;8320;57.456;-2.377;2018-11-20T03:12:47;102452.59;;;4.47;90.05
16423;BME280;8320;57.456;-2.377;2018-11-20T03:15:54;102440.92;;;4.49;89.92
16423;BME280;8320;57.456;-2.377;2018-11-20T03:25:46;102436.77;;;4.58;91.26
16423;BME280;8320;57.456;-2.377;2018-11-20T03:33:02;102443.70;;;4.71;92.09
16423;BME280;8320;57.456;-2.377;2018-11-20T03:36:41;102435.23;;;4.80;92.67
16423;BME280;8320;57.456;-2.377;2018-11-20T03:40:01;102434.38;;;4.93;93.48
16423;BME280;8320;57.456;-2.377;2018-11-20T03:50:16;102436.20;;;5.15;92.97
16423;BME280;8320;57.456;-2.377;2018-11-20T03:53:03;102430.27;;;5.13;92.12
16423;BME280;8320;57.456;-2.377;2018-11-20T03:55:54;102446.02;;;5.17;92.10
16423;BME280;8320;57.456;-2.377;2018-11-20T03:58:33;102435.59;;;5.20;92.33
16423;BME280;8320;57.456;-2.377;2018-11-20T04:09:43;102425.86;;;5.29;92.72
16423;BME280;8320;57.456;-2.377;2018-11-20T04:12:31;102424.47;;;5.32;92.97
16423;BME280;8320;57.456;-2.377;2018-11-20T04:15:18;102415.83;;;5.33;92.77
16423;BME280;8320;57.456;-2.377;2018-11-20T04:18:06;102413.58;;;5.35;92.59
16423;BME280;8320;57.456;-2.377;2018-11-20T04:20:53;102416.17;;;5.35;92.27
16423;BME280;8320;57.456;-2.377;2018-11-20T04:23:41;102408.86;;;5.35;92.20
16423;BME280;8320;57.456;-2.377;2018-11-20T04:26:29;102412.73;;;5.35;91.87
16423;BME280;8320;57.456;-2.377;2018-11-20T04:29:16;102409.75;;;5.34;91.97
16423;BME280;8320;57.456;-2.377;2018-11-20T04:32:04;102414.03;;;5.35;92.36
16423;BME280;8320;57.456;-2.377;2018-11-20T04:34:54;102410.66;;;5.33;92.87
16423;BME280;8320;57.456;-2.377;2018-11-20T04:40:29;102413.03;;;5.39;93.32
16423;BME280;8320;57.456;-2.377;2018-11-20T04:46:04;102406.58;;;5.39;92.32
16423;BME280;8320;57.456;-2.377;2018-11-20T04:48:51;102407.46;;;5.38;91.80
16423;BME280;8320;57.456;-2.377;2018-11-20T04:51:39;102400.63;;;5.37;91.59
16423;BME280;8320;57.456;-2.377;2018-11-20T04:54:27;102405.05;;;5.33;91.50
16423;BME280;8320;57.456;-2.377;2018-11-20T04:57:14;102399.83;;;5.35;92.07
16423;BME280;8320;57.456;-2.377;2018-11-20T05:02:41;102400.67;;;5.35;92.43
16423;BME280;8320;57.456;-2.377;2018-11-20T05:05:28;102400.05;;;5.40;92.97
16423;BME280;8320;57.456;-2.377;2018-11-20T05:08:16;102400.01;;;5.42;93.36
16423;BME280;8320;57.456;-2.377;2018-11-20T05:11:04;102398.57;;;5.46;93.47
16423;BME280;8320;57.456;-2.377;2018-11-20T05:13:51;102393.73;;;5.49;93.76
16423;BME280;8320;57.456;-2.377;2018-11-20T05:16:34;102385.43;;;5.52;93.92
16423;BME280;8320;57.456;-2.377;2018-11-20T05:19:21;102387.05;;;5.55;94.09
16423;BME280;8320;57.456;-2.377;2018-11-20T05:22:09;102381.77;;;5.58;93.85
16423;BME280;8320;57.456;-2.377;2018-11-20T05:27:44;102379.16;;;5.59;93.37
16423;BME280;8320;57.456;-2.377;2018-11-20T05:30:25;102377.78;;;5.61;93.51
16423;BME280;8320;57.456;-2.377;2018-11-20T05:33:13;102380.89;;;5.59;93.44
16423;BME280;8320;57.456;-2.377;2018-11-20T05:36:01;102385.66;;;5.58;93.56
16423;BME280;8320;57.456;-2.377;2018-11-20T05:38:49;102388.97;;;5.61;93.86
16423;BME280;8320;57.456;-2.377;2018-11-20T05:49:59;102385.66;;;5.58;93.25
16423;BME280;8320;57.456;-2.377;2018-11-20T05:52:46;102375.27;;;5.59;93.27
16423;BME280;8320;57.456;-2.377;2018-11-20T05:55:34;102378.63;;;5.61;93.20
16423;BME280;8320;57.456;-2.377;2018-11-20T05:58:22;102374.36;;;5.60;93.03
16423;BME280;8320;57.456;-2.377;2018-11-20T06:01:09;102374.36;;;5.60;92.91
16423;BME280;8320;57.456;-2.377;2018-11-20T06:03:57;102383.47;;;5.59;92.51
16423;BME280;8320;57.456;-2.377;2018-11-20T06:09:32;102386.09;;;5.57;92.97
16423;BME280;8320;57.456;-2.377;2018-11-20T06:23:30;102387.94;;;5.54;94.38
16423;BME280;8320;57.456;-2.377;2018-11-20T06:26:17;102383.58;;;5.56;94.37
16423;BME280;8320;57.456;-2.377;2018-11-20T06:29:05;102383.06;;;5.58;94.51
16423;BME280;8320;57.456;-2.377;2018-11-20T06:31:53;102386.39;;;5.61;94.68
16423;BME280;8320;57.456;-2.377;2018-11-20T06:40:24;102375.39;;;5.56;94.46
16423;BME280;8320;57.456;-2.377;2018-11-20T06:46:00;102379.52;;;5.60;94.69
16423;BME280;8320;57.456;-2.377;2018-11-20T06:48:47;102378.12;;;5.63;95.05
16423;BME280;8320;57.456;-2.377;2018-11-20T06:51:35;102377.23;;;5.64;94.77
16423;BME280;8320;57.456;-2.377;2018-11-20T06:54:22;102377.56;;;5.67;94.93
16423;BME280;8320;57.456;-2.377;2018-11-20T06:57:10;102372.80;;;5.68;95.06
16423;BME280;8320;57.456;-2.377;2018-11-20T07:02:45;102365.16;;;5.65;94.77
16423;BME280;8320;57.456;-2.377;2018-11-20T07:05:33;102358.73;;;5.63;94.64
16423;BME280;8320;57.456;-2.377;2018-11-20T07:08:09;102359.33;;;5.60;94.16
16423;BME280;8320;57.456;-2.377;2018-11-20T07:10:57;102355.09;;;5.57;94.26
16423;BME280;8320;57.456;-2.377;2018-11-20T07:17:13;102353.18;;;5.51;94.08
16423;BME280;8320;57.456;-2.377;2018-11-20T07:20:01;102350.16;;;5.40;93.08
16423;BME280;8320;57.456;-2.377;2018-11-20T07:22:48;102346.95;;;5.33;92.21
16423;BME280;8320;57.456;-2.377;2018-11-20T07:25:36;102347.61;;;5.27;91.99
16423;BME280;8320;57.456;-2.377;2018-11-20T07:34:17;102348.66;;;5.21;93.46
16423;BME280;8320;57.456;-2.377;2018-11-20T07:39:52;102342.27;;;5.19;93.27
16423;BME280;8320;57.456;-2.377;2018-11-20T07:42:40;102338.39;;;5.19;93.50
16423;BME280;8320;57.456;-2.377;2018-11-20T07:45:28;102336.59;;;5.21;93.58
16423;BME280;8320;57.456;-2.377;2018-11-20T07:51:03;102341.64;;;5.25;93.96
16423;BME280;8320;57.456;-2.377;2018-11-20T07:56:38;102336.25;;;5.31;94.41
16423;BME280;8320;57.456;-2.377;2018-11-20T07:59:22;102330.50;;;5.36;94.68
16423;BME280;8320;57.456;-2.377;2018-11-20T08:02:09;102326.95;;;5.38;94.78
16423;BME280;8320;57.456;-2.377;2018-11-20T08:04:57;102321.67;;;5.41;94.59
16423;BME280;8320;57.456;-2.377;2018-11-20T08:10:51;102328.86;;;5.45;94.31
16423;BME280;8320;57.456;-2.377;2018-11-20T08:13:38;102327.58;;;5.45;94.51
16423;BME280;8320;57.456;-2.377;2018-11-20T08:16:26;102328.53;;;5.42;94.13
16423;BME280;8320;57.456;-2.377;2018-11-20T08:19:13;102322.92;;;5.43;93.90
16423;BME280;8320;57.456;-2.377;2018-11-20T08:22:01;102315.47;;;5.47;94.40
16423;BME280;8320;57.456;-2.377;2018-11-20T08:24:48;102309.45;;;5.46;94.52
16423;BME280;8320;57.456;-2.377;2018-11-20T08:27:36;102314.95;;;5.49;94.38
16423;BME280;8320;57.456;-2.377;2018-11-20T08:30:24;102315.39;;;5.48;94.23
16423;BME280;8320;57.456;-2.377;2018-11-20T08:33:11;102308.09;;;5.48;93.81
16423;BME280;8320;57.456;-2.377;2018-11-20T08:35:59;102310.30;;;5.47;93.25
16423;BME280;8320;57.456;-2.377;2018-11-20T08:38:46;102308.28;;;5.43;93.11
16423;BME280;8320;57.456;-2.377;2018-11-20T08:44:22;102303.88;;;5.45;93.53
16423;BME280;8320;57.456;-2.377;2018-11-20T08:47:04;102302.59;;;5.45;93.60
16423;BME280;8320;57.456;-2.377;2018-11-20T08:49:51;102297.31;;;5.48;93.62
16423;BME280;8320;57.456;-2.377;2018-11-20T08:52:39;102297.27;;;5.50;93.45
16423;BME280;8320;57.456;-2.377;2018-11-20T08:58:14;102280.73;;;5.54;93.11
16423;BME280;8320;57.456;-2.377;2018-11-20T09:01:02;102284.56;;;5.55;92.85
16423;BME280;8320;57.456;-2.377;2018-11-20T09:03:50;102278.95;;;5.56;92.81
16423;BME280;8320;57.456;-2.377;2018-11-20T09:06:37;102283.31;;;5.54;92.38
16423;BME280;8320;57.456;-2.377;2018-11-20T09:09:25;102280.00;;;5.50;91.89
16423;BME280;8320;57.456;-2.377;2018-11-20T09:15:00;102285.95;;;5.41;91.76
16423;BME280;8320;57.456;-2.377;2018-11-20T09:17:47;102280.47;;;5.38;91.87
16423;BME280;8320;57.456;-2.377;2018-11-20T09:20:35;102276.70;;;5.35;92.03
16423;BME280;8320;57.456;-2.377;2018-11-20T09:23:41;102274.41;;;5.39;92.25
16423;BME280;8320;57.456;-2.377;2018-11-20T09:26:29;102274.22;;;5.44;92.02
16423;BME280;8320;57.456;-2.377;2018-11-20T09:29:16;102274.70;;;5.43;91.69
16423;BME280;8320;57.456;-2.377;2018-11-20T09:32:04;102279.79;;;5.45;91.92
16423;BME280;8320;57.456;-2.377;2018-11-20T09:38:31;102271.81;;;5.51;92.32
16423;BME280;8320;57.456;-2.377;2018-11-20T09:41:18;102269.79;;;5.47;92.52
16423;BME280;8320;57.456;-2.377;2018-11-20T09:47:15;102262.40;;;5.50;93.01
16423;BME280;8320;57.456;-2.377;2018-11-20T09:50:05;102266.48;;;5.55;93.33
16423;BME280;8320;57.456;-2.377;2018-11-20T09:52:51;102259.95;;;5.57;93.23
16423;BME280;8320;57.456;-2.377;2018-11-20T09:55:38;102262.94;;;5.58;93.17
16423;BME280;8320;57.456;-2.377;2018-11-20T09:58:25;102256.48;;;5.58;93.12
16423;BME280;8320;57.456;-2.377;2018-11-20T10:01:12;102258.09;;;5.60;93.14
16423;BME280;8320;57.456;-2.377;2018-11-20T10:03:59;102264.34;;;5.66;93.66
16423;BME280;8320;57.456;-2.377;2018-11-20T10:06:45;102256.12;;;5.67;93.52
16423;BME280;8320;57.456;-2.377;2018-11-20T10:09:32;102260.23;;;5.72;93.56
16423;BME280;8320;57.456;-2.377;2018-11-20T10:12:06;102249.25;;;5.78;93.63
16423;BME280;8320;57.456;-2.377;2018-11-20T10:14:53;102250.50;;;5.79;93.92
16423;BME280;8320;57.456;-2.377;2018-11-20T10:17:40;102249.84;;;5.86;93.85
16423;BME280;8320;57.456;-2.377;2018-11-20T10:20:26;102242.02;;;5.87;93.44
16423;BME280;8320;57.456;-2.377;2018-11-20T10:23:13;102244.47;;;5.90;93.00
16423;BME280;8320;57.456;-2.377;2018-11-20T10:26:00;102245.64;;;5.93;93.20
16423;BME280;8320;57.456;-2.377;2018-11-20T10:28:47;102247.33;;;5.94;93.31
16423;BME280;8320;57.456;-2.377;2018-11-20T10:31:35;102243.78;;;5.97;93.43
16423;BME280;8320;57.456;-2.377;2018-11-20T10:34:22;102240.42;;;5.95;93.60
16423;BME280;8320;57.456;-2.377;2018-11-20T10:37:08;102241.77;;;5.93;93.24
16423;BME280;8320;57.456;-2.377;2018-11-20T10:39:55;102230.61;;;5.93;93.22
16423;BME280;8320;57.456;-2.377;2018-11-20T10:42:42;102230.98;;;5.94;93.16
16423;BME280;8320;57.456;-2.377;2018-11-20T10:45:29;102220.91;;;5.98;93.64
16423;BME280;8320;57.456;-2.377;2018-11-20T10:48:15;102229.07;;;5.99;93.39
16423;BME280;8320;57.456;-2.377;2018-11-20T10:51:22;102229.20;;;5.96;92.42
16423;BME280;8320;57.456;-2.377;2018-11-20T10:53:58;102229.11;;;5.97;92.35
16423;BME280;8320;57.456;-2.377;2018-11-20T10:57:05;102220.06;;;5.97;92.51
16423;BME280;8320;57.456;-2.377;2018-11-20T10:59:52;102225.11;;;6.00;92.51
16423;BME280;8320;57.456;-2.377;2018-11-20T11:02:40;102216.41;;;6.03;92.08
16423;BME280;8320;57.456;-2.377;2018-11-20T11:05:29;102214.42;;;6.09;91.89
16423;BME280;8320;57.456;-2.377;2018-11-20T11:08:20;102208.41;;;6.09;91.21
16423;BME280;8320;57.456;-2.377;2018-11-20T11:11:10;102208.33;;;6.10;91.43
16423;BME280;8320;57.456;-2.377;2018-11-20T11:13:57;102200.20;;;6.09;91.03
16423;BME280;8320;57.456;-2.377;2018-11-20T11:16:43;102198.95;;;6.08;90.75
16423;BME280;8320;57.456;-2.377;2018-11-20T11:19:28;102195.03;;;6.09;90.76
16423;BME280;8320;57.456;-2.377;2018-11-20T11:22:15;102197.66;;;6.08;90.36
16423;BME280;8320;57.456;-2.377;2018-11-20T11:25:08;102193.87;;;6.06;89.71
16423;BME280;8320;57.456;-2.377;2018-11-20T11:28:06;102188.42;;;6.02;89.73
16423;BME280;8320;57.456;-2.377;2018-11-20T11:30:51;102180.27;;;6.01;90.19
16423;BME280;8320;57.456;-2.377;2018-11-20T11:33:44;102178.58;;;6.00;89.82
16423;BME280;8320;57.456;-2.377;2018-11-20T11:36:49;102185.97;;;5.99;90.50
16423;BME280;8320;57.456;-2.377;2018-11-20T11:39:47;102179.88;;;6.00;91.03
16423;BME280;8320;57.456;-2.377;2018-11-20T11:42:30;102181.88;;;6.04;91.36
16423;BME280;8320;57.456;-2.377;2018-11-20T11:45:29;102177.11;;;6.05;91.65
16423;BME280;8320;57.456;-2.377;2018-11-20T11:48:14;102174.80;;;6.09;92.01
16423;BME280;8320;57.456;-2.377;2018-11-20T11:51:04;102171.63;;;6.12;91.83
16423;BME280;8320;57.456;-2.377;2018-11-20T11:54:09;102164.06;;;6.18;92.11
16423;BME280;8320;57.456;-2.377;2018-11-20T11:56:46;102158.49;;;6.17;91.80
16423;BME280;8320;57.456;-2.377;2018-11-20T11:59:31;102160.19;;;6.18;91.18
16423;BME280;8320;57.456;-2.377;2018-11-20T12:02:33;102157.55;;;6.19;90.80
16423;BME280;8320;57.456;-2.377;2018-11-20T12:05:25;102149.79;;;6.19;89.86
16423;BME280;8320;57.456;-2.377;2018-11-20T12:08:11;102151.80;;;6.23;90.09
16423;BME280;8320;57.456;-2.377;2018-11-20T12:11:03;102149.39;;;6.18;89.13
16423;BME280;8320;57.456;-2.377;2018-11-20T12:17:22;102159.34;;;6.17;89.14
16423;BME280;8320;57.456;-2.377;2018-11-20T12:20:23;102141.69;;;6.17;87.77
16423;BME280;8320;57.456;-2.377;2018-11-20T12:23:08;102136.28;;;6.23;88.14
16423;BME280;8320;57.456;-2.377;2018-11-20T12:25:55;102129.86;;;6.32;87.64
16423;BME280;8320;57.456;-2.377;2018-11-20T12:28:57;102131.55;;;6.43;88.74
16423;BME280;8320;57.456;-2.377;2018-11-20T12:31:37;102129.89;;;6.50;88.15
16423;BME280;8320;57.456;-2.377;2018-11-20T12:34:36;102132.61;;;6.57;88.59
16423;BME280;8320;57.456;-2.377;2018-11-20T12:37:21;102122.83;;;6.64;88.90
16423;BME280;8320;57.456;-2.377;2018-11-20T12:40:06;102126.12;;;6.67;87.56
16423;BME280;8320;57.456;-2.377;2018-11-20T12:42:59;102118.18;;;6.62;86.33
16423;BME280;8320;57.456;-2.377;2018-11-20T12:45:55;102117.30;;;6.53;86.18
16423;BME280;8320;57.456;-2.377;2018-11-20T12:48:42;102111.08;;;6.47;86.19
16423;BME280;8320;57.456;-2.377;2018-11-20T12:51:32;102108.36;;;6.40;85.37
16423;BME280;8320;57.456;-2.377;2018-11-20T12:54:16;102107.34;;;6.34;85.10
16423;BME280;8320;57.456;-2.377;2018-11-20T12:57:12;102090.41;;;6.27;84.89
16423;BME280;8320;57.456;-2.377;2018-11-20T12:59:57;102092.81;;;6.21;85.65
16423;BME280;8320;57.456;-2.377;2018-11-20T13:02:52;102085.24;;;6.16;86.61
16423;BME280;8320;57.456;-2.377;2018-11-20T13:05:38;102085.02;;;6.12;86.91
16423;BME280;8320;57.456;-2.377;2018-11-20T13:08:19;102080.69;;;6.13;88.67
16423;BME280;8320;57.456;-2.377;2018-11-20T13:11:04;102076.72;;;6.14;89.13
16423;BME280;8320;57.456;-2.377;2018-11-20T13:14:07;102075.83;;;6.15;89.45
16423;BME280;8320;57.456;-2.377;2018-11-20T13:16:52;102076.33;;;6.13;88.62
16423;BME280;8320;57.456;-2.377;2018-11-20T13:19:50;102074.22;;;6.13;87.95
16423;BME280;8320;57.456;-2.377;2018-11-20T13:22:35;102069.95;;;6.12;87.73
16423;BME280;8320;57.456;-2.377;2018-11-20T13:25:28;102069.10;;;6.11;88.17
16423;BME280;8320;57.456;-2.377;2018-11-20T13:28:20;102062.23;;;6.10;88.75
16423;BME280;8320;57.456;-2.377;2018-11-20T13:31:06;102056.57;;;6.12;88.97
16423;BME280;8320;57.456;-2.377;2018-11-20T13:33:46;102054.88;;;6.11;89.10
16423;BME280;8320;57.456;-2.377;2018-11-20T13:36:48;102048.36;;;6.13;89.48
16423;BME280;8320;57.456;-2.377;2018-11-20T13:39:35;102043.20;;;6.13;89.52
16423;BME280;8320;57.456;-2.377;2018-11-20T13:42:31;102036.91;;;6.18;88.74
