DateTime;Nitrogen Dioxide;PM10;PM2.5
2019-06-02 01:00:00;31;13;9
2019-06-02 02:00:00;21;10;6
2019-06-02 03:00:00;7;6;3
2019-06-02 04:00:00;8;7;6
2019-06-02 05:00:00;12;9;7
2019-06-02 06:00:00;14;10;8
2019-06-02 07:00:00;10;12;10
2019-06-02 08:00:00;9;8;7
2019-06-02 09:00:00;10;14;11
2019-06-02 10:00:00;10;17;12
2019-06-02 11:00:00;16;16;11
2019-06-02 12:00:00;15;18;12
2019-06-02 13:00:00;18;20;13
2019-06-02 14:00:00;15;21;14
2019-06-02 15:00:00;10;18;12
2019-06-02 16:00:00;8;11;7
2019-06-02 17:00:00;7;6;3
2019-06-02 18:00:00;8;7;3
2019-06-02 19:00:00;5;8;4
2019-06-02 20:00:00;7;11;6
2019-06-02 21:00:00;5;12;6
2019-06-02 22:00:00;4;14;8
2019-06-02 23:00:00;3;20;10
2019-06-03 00:00:00;3;17;9
2019-06-03 01:00:00;2;18;9
2019-06-03 02:00:00;3;14;7
2019-06-03 03:00:00;3;10;5
2019-06-03 04:00:00;3;7;3
2019-06-03 05:00:00;6;4;1
2019-06-03 06:00:00;7;5;2
2019-06-03 07:00:00;16;6;2
2019-06-03 08:00:00;12;8;2
2019-06-03 09:00:00;13;9;3
2019-06-03 10:00:00;9;8;2
2019-06-03 11:00:00;12;7;2
2019-06-03 12:00:00;13;9;2
2019-06-03 13:00:00;22;8;2
2019-06-03 14:00:00;11;6;2
2019-06-03 15:00:00;12;7;2
2019-06-03 16:00:00;12;6;2
2019-06-03 17:00:00;18;5;2
2019-06-03 18:00:00;19;6;2
2019-06-03 19:00:00;18;4;1
2019-06-03 20:00:00;15;5;2
2019-06-03 21:00:00;9;6;3
2019-06-03 22:00:00;5;6;3
2019-06-03 23:00:00;8;8;4
2019-06-04 00:00:00;5;7;4